feature,mean_abs_shap_global,mean_abs_shap__Agricultural Burning,mean_abs_shap__Gas Flare,mean_abs_shap__Industrial Fire,mean_abs_shap__Other/Unknown,mean_abs_shap__Wildfire
longitude,0.68660575,0.7553524,1.307306,0.18199496,0.30791596,0.8804599
dnbr,0.58676136,0.20880358,0.12152348,0.009162097,0.443214,2.1511037
confidence_pct,0.5671006,0.24328549,0.006484072,0.21627468,2.0928428,0.2766159
crops_probability,0.5548,2.0830839,0.0,0.37341174,0.26142722,0.056077663
latitude,0.5047378,0.8257883,0.023338249,0.32162276,1.0384569,0.31448203
persistence_days,0.42265713,0.3399867,1.0186945,0.31215262,0.19297989,0.24947128
trees_probability,0.40509322,0.06475731,0.019062355,0.13822107,0.37125632,1.4321692
brightness_temp_i4_k,0.40392953,0.1227004,1.2231795,0.17152742,0.3547762,0.14746314
built_probability,0.33435237,0.46138906,0.17066595,0.83606917,0.18350992,0.020129217
frp_mw,0.33400273,0.31733492,0.022204733,0.6353635,0.6520037,0.043106996
distance_to_industrial_m,0.32596913,0.0939263,0.010082037,1.0950779,0.12292866,0.30783072
active_days_count,0.3117192,0.09503789,0.7560533,0.51601636,0.1407609,0.050729204
industrial_count_500m,0.27034348,0.009997068,0.0,1.2424586,0.09926257,0.0
distance_to_refinery_m,0.25005385,0.34776375,0.2754778,0.047938544,0.3720246,0.20706448
day_night_ratio,0.21503961,0.39118475,0.12445343,0.2624905,0.1115525,0.18551591
total_detections_365d,0.20387743,0.08380656,0.21379387,0.22762041,0.33568242,0.15848427
brightness_temp_i5_k,0.18240672,0.3847733,0.041966256,0.09442744,0.3383708,0.052495833
ndvi,0.149112,0.0866131,0.27161974,0.2068659,0.13333191,0.047129303
detection_month,0.14890487,0.32391432,0.066662654,0.038660128,0.19912732,0.11615949
water_probability,0.12051089,0.2840137,0.007895293,0.103068836,0.10797999,0.09959689
nbr,0.10428808,0.044760246,0.0085290205,0.021322047,0.085312314,0.36151668
day_night_flag,0.08103713,0.12948267,0.014146739,0.24869628,0.0128597645,0.0
frp_std_dev_pct,0.07522893,0.04999455,0.0049575185,0.04040804,0.22429039,0.056494202
burned_area_overlap,0.0023816822,0.0,0.0,0.0,0.0,0.011908411
